,description,finished,has_items,item_types,maximum_depth,number_of_dependents,sample_id,sample_name,target_depths,targets
21,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27493,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5-RGR-W34 | pMOD-NatMX-pGRR-W10W5-RGR-W14 | pMOD8-pGRR-W14W34-RGR-W5,[2],[27566]
22,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27490,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD-NatMX-pGRR-W10W5-RGR-W14 | pMOD6-pGRR-W8W14-RGR-W5,[2],[27568]
23,"{""a_strains"": [27490, 27427, 27415, 27413, 27397, 27394]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,7,27567,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W5 | pMOD6-pGRR-W8-yeGFP,"[2, 2, 2, 2, 2, 2]","[27568, 27569, 27570, 27571, 27572, 27573]"
24,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27427,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W8-RGR-W5 | pMOD6-pGRR-W5-RGR-W8,[2],[27569]
25,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27415,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W22W5-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W5 | pMOD6-pGRR-W5-RGR-W8,[2],[27570]
26,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27413,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD6-pGRR-W5-RGR-W8,[2],[27571]
27,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27397,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W22W5-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W8W20-RGR-W5 | pMOD6-pGRR-W5-RGR-W8,[2],[27572]
28,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27394,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W8W20-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD6-pGRR-W5-RGR-W8,[2],[27573]
29,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27488,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W17-RGR-W34 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27575]
30,"{""a_strains"": [27488, 27484, 27482, 27480, 27442, 27439, 27433, 27430]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,9,27574,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W17 | pMOD6-pGRR-W5-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2]","[27575, 27576, 27577, 27578, 27579, 27580, 27581, 27582]"
31,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27484,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR3-Hyg-pGRR-W17-RGR-W34 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27576]
32,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27482,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27577]
33,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27480,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W17W17-RGR-W19 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27578]
34,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27442,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27579]
35,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27439,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27580]
36,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27433,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR3-Hyg-pGRR-W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27581]
37,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27430,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W20 | pMOD-LTR1-Nat-pGRR-W5W20-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27582]
38,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27486,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W34 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27584]
39,"{""a_strains"": [27486, 27478, 27476, 27474, 27436]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,6,27583,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W17 | pMOD6-pGRR-W34-yeGFP,"[2, 2, 2, 2, 2]","[27584, 27585, 27586, 27587, 27588]"
40,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27478,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W5 | pMOD-LTR1-Nat-pGRR-W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27585]
41,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27476,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W5 | pMOD-LTR3-Hyg-pGRR-W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27586]
42,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27474,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W5 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27587]
43,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27436,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W34 | pMOD6-pGRR-W5W34-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27588]
44,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27471,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-F4W5-RGR-W17,[2],[27590]
45,"{""a_strains"": [27471, 27470, 27469, 27468, 27467, 27466, 27446, 27444]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,9,27589,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W5 | pMOD6-pGRR-W17-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2]","[27590, 27591, 27592, 27593, 27594, 27595, 27596, 27597]"
46,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27470,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-F6W5-RGR-W17,[2],[27591]
47,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27469,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-F7W5-RGR-W17,[2],[27592]
48,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27468,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-F10W5-RGR-W17,[2],[27593]
49,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27467,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-W5W34-RGR-W17,[2],[27594]
50,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27466,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5 | pMOD6-pGRR-W5-RGR-W17,[2],[27595]
51,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27446,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD6-pGRR-F4W5-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27596]
52,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27444,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-NatMx-pGRR-W5-RGR-W19 | pMOD6-pGRR-F6W5-RGR-W17 | pMOD8-pGRR-W19W17-RGR-W5,[2],[27597]
53,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27465,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W17-RGR-W20 | pMOD-LTR1-Nat-pGRR-W5W20-RGR-W17 | pMOD-LTR3-bleo-pGRR-W19W17-RGR-W5,[2],[27599]
54,"{""a_strains"": [27465]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,2,27598,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W17 | pMOD6-pGRR-W20-yeGFP,[2],[27599]
55,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27464,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Kanmx-pGRR-W19-RGR-W34 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27602]
56,"{""a_strains"": [27464, 27463, 27461, 27455, 27454, 27453, 27449]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,8,27601,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALz4-RGR-W19 | pMOD6-pGRR-W34-yeGFP,"[2, 2, 2, 2, 2, 2, 2]","[27602, 27603, 27604, 27605, 27606, 27607, 27608]"
57,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27463,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Kanmx-pGRR-W19-RGR-W34 | pMOD8-pGRR-W19-RGR-W17,[2],[27603]
58,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27461,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Kanmx-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD8-pGRR-W19-RGR-W17,[2],[27604]
59,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27455,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Hyg-pGRR-W19-RGR-W34 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27605]
60,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27454,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Hyg-pGRR-W19-RGR-W34 | pMOD6-pGRR-W19W5-RGR-W17,[2],[27606]
61,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27453,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Hyg-pGRR-W19-RGR-W34 | pMOD8-pGRR-W19-RGR-W17,[2],[27607]
62,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27449,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD8-pGRR-W19-RGR-W17,[2],[27608]
63,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27462,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Kanmx-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27610]
64,"{""a_strains"": [27462, 27460, 27458, 27451, 27450]}",False,True,['Yeast Plate'],2,6,27609,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALz4-RGR-W19 | pMOD6-pGRR-W17-yeGFP,"[2, 2, 2, 2, 2]","[27610, 27611, 27612, 27613, 27614]"
65,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27460,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD-LTR3-Kanmx-pGRR-W19-RGR-W34 | pMOD6-pGRR-W19W5-RGR-W17,[2],[27611]
66,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27458,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Kanmx-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD6-pGRR-W19W5-RGR-W17,[2],[27612]
67,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27451,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD6-pGRR-W5W19-RGR-W17,[2],[27613]
68,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27450,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W19-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W34W17-RGR-W19 | pMOD6-pGRR-W19W5-RGR-W17,[2],[27614]
69,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27425,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-F1W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W36 | pMOD6-pGRR-W36-RGR-W8,[2],[27616]
70,"{""a_strains"": [27425, 27422]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,3,27615,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W36 | pMOD6-pGRR-W20-yeGFP,"[2, 2]","[27616, 27617]"
71,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27422,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W36-RGR-W8 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W36 | pMOD6-pGRR-W36-RGR-W20,[2],[27617]
72,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27410,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W36W8-RGR-W20 | pMOD-LTR1-NatMX-pGRR-W8-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8,"[2, 2]","[27619, 27630]"
73,"{""a_strains"": [27410, 27405, 27389, 27373, 27372, 27371, 27370, 27366, 27362, 27357]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,11,27618,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W8 | pMOD6-pGRR-W20-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[27619, 27620, 27621, 27622, 27623, 27624, 27625, 27626, 27627, 27628]"
74,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27405,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8W36-RGR-W20 | pMOD-LTR1-NatMX-pGRR-W8-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8,"[2, 2]","[27620, 27631]"
75,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27389,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8-RGR-W20 | pMOD-LTR1-NatMX-pGRR-W8-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8,"[2, 2]","[27621, 27632]"
76,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27373,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W36W8-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD-LTR3-NatMX-pGRR-W8-RGR-W10,"[2, 2]","[27622, 27633]"
77,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27372,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HO-Leu2-pGRR-W8W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD-LTR3-NatMX-pGRR-W8-RGR-W10,"[2, 2]","[27623, 27634]"
78,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27371,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD-LTR3-NatMX-pGRR-W8-RGR-W10,"[2, 2]","[27624, 27635]"
79,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27370,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD-LTR3-NatMX-pGRR-W8-RGR-W10,"[2, 2]","[27625, 27636]"
80,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27366,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W36W8-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD8-pGRR-W8-RGR-W10,"[2, 2]","[27626, 27637]"
81,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27362,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD8-pGRR-W8-RGR-W10,"[2, 2]","[27627, 27638]"
82,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27357,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD8-pGRR-W8-RGR-W10,"[2, 2]","[27628, 27639]"
83,"{""a_strains"": [27410, 27405, 27389, 27373, 27372, 27371, 27370, 27366, 27362, 27357]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,11,27629,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-RGR-W8 | pMOD6-pGRR-W20-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[27630, 27631, 27632, 27633, 27634, 27635, 27636, 27637, 27638, 27639]"
84,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27408,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HO-Leu2-pGRR-W8W36-RGR-W20 | pMOD-HOKan-pGRR-W20-RGR-W8 | pMOD-LTR3-HygMX-pGRR-W20-RGR-W36,[2],[27641]
85,"{""a_strains"": [27408, 27324]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,3,27640,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W20 | pMOD6-pGRR-W8-yeGFP,"[2, 2]","[27641, 27642]"
86,"{""level"": ""3"", ""design"": ""g1"", ""total"": 3}",False,False,[],2,2,27324,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HO-Leu2-pGRR-W8W36-RGR-W20 | pMOD-HOKan-pGRR-W20-RGR-W8 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W36,[2],[27642]
87,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27407,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HO-Leu2-pGRR-W8W36-RGR-W20 | pMOD-LTR1-NatMX-pGRR-W8-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8,"[2, 2]","[27644, 27648]"
88,"{""a_strains"": [27407, 27364, 27360]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,4,27643,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W8 | pMOD6-pGRR-W10-yeGFP,"[2, 2, 2]","[27644, 27645, 27646]"
89,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27364,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HO-Leu2-pGRR-W8W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD8-pGRR-W8-RGR-W10,"[2, 2]","[27645, 27649]"
90,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27360,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W8-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W10-RGR-W8 | pMOD8-pGRR-W8-RGR-W10,"[2, 2]","[27646, 27650]"
91,"{""a_strains"": [27407, 27364, 27360]}",False,True,['Yeast Plate'],2,4,27647,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-RGR-W8 | pMOD6-pGRR-W10-yeGFP,"[2, 2, 2]","[27648, 27649, 27650]"
92,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27391,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W8-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD8-pGRR-W8-RGR-W17,"[2, 2]","[27652, 27661]"
93,"{""a_strains"": [27391, 27390, 27387, 27385, 27384, 27383, 27382, 27376]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,9,27651,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W8 | pMOD6-pGRR-W17-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2]","[27652, 27653, 27654, 27655, 27656, 27657, 27658, 27659]"
94,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27390,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD8-pGRR-W8-RGR-W17,"[2, 2]","[27653, 27662]"
95,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27387,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD6-pGRR-W8W14-RGR-W5 | pMOD8-pGRR-W8-RGR-W17,"[2, 2]","[27654, 27663]"
96,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27385,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD-LTR3-Hyg-pGRR-W8-RGR-W17 | pMOD8-pGRR-W10W8-RGR-W5,"[2, 2]","[27655, 27664]"
97,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27384,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD-LTR3-Hyg-pGRR-W8-RGR-W17 | pMOD8-pGRR-W8W10-RGR-W5,"[2, 2]","[27656, 27665]"
98,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,3,27383,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W5W17-RGR-W8 | pMOD-LTR3-Hyg-pGRR-W8-RGR-W17 | pMOD8-pGRR-W8-RGR-W5,"[2, 2]","[27657, 27666]"
