,description,finished,has_items,item_types,maximum_depth,number_of_dependents,sample_id,sample_name,target_depths,targets
210,"{""level"": ""2"", ""design"": ""b1"", ""total"": 3}",False,False,[],3,4,27502,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20W34-RGR-W10 | pMOD-LTR2-Bleo-pGRR-W19W10-RGR-W20,"[2, 3, 3]","[27503, 27561, 27563]"
211,"{""level"": ""1"", ""design"": null, ""total"": 3}",False,False,[],4,7,27504,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W5,"[2, 2, 3, 3, 4, 4]","[27505, 27507, 27506, 27508, 27557, 27556]"
212,"{""level"": ""2"", ""design"": null, ""total"": 3}",False,False,[],3,3,27505,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W5 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34,"[2, 3]","[27506, 27557]"
213,"{""level"": ""2"", ""design"": null, ""total"": 3}",False,False,[],3,3,27507,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W5 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34,"[2, 3]","[27508, 27556]"
214,"{""level"": ""1"", ""design"": null, ""total"": 3}",True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell', 'Yeast Plate']",4,6,27509,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34,"[2, 3, 3, 4, 4]","[27510, 27511, 27512, 27549, 27548]"
215,"{""level"": ""2"", ""design"": ""b1"", ""total"": 3}",False,True,['Yeast Plate'],3,5,27510,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20,"[2, 2, 3, 3]","[27511, 27512, 27549, 27548]"
216,"{""level"": ""2"", ""design"": ""b1"", ""total"": 3}",False,True,['Yeast Plate'],3,5,27513,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20,"[2, 2, 3, 3]","[27514, 27515, 27547, 27546]"
217,"{""level"": ""2"", ""design"": ""b1"", ""total"": 3}",False,False,[],3,5,27516,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20,"[2, 2, 3, 3]","[27517, 27518, 27545, 27544]"
218,inducible W20 strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",3,20,24927,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W20,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27555, 27544, 27545, 27546, 27547, 27548, 27549, 27550, 27551, 27552, 27553, 27554, 27556, 27557, 27558, 27641, 27642]"
219,inducible yeast strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell', 'Yeast Plate']",3,3,27559,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-RGR-W10,"[2, 3]","[27560, 27561]"
220,inducible W10 strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",3,3,24943,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W10,[3],[27563]
221,inducible W5 strain,True,True,['Yeast Glycerol Stock'],3,25,24940,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W5,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27564, 27565, 27566, 27568, 27569, 27570, 27571, 27572, 27573, 27590, 27591, 27592, 27593, 27594, 27595, 27596, 27597, 27676, 27677]"
222,inducible W17 strain,True,True,['Yeast Glycerol Stock'],3,23,24936,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W17,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27575, 27576, 27577, 27578, 27579, 27580, 27581, 27582, 27584, 27585, 27586, 27587, 27588, 27599, 27679, 27680, 27681, 27682]"
223,inducible yeast strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell', 'Yeast Plate']",3,15,27600,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALz4-RGR-W19,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27609, 27602, 27603, 27604, 27605, 27606, 27607, 27608, 27610, 27611, 27612, 27613, 27614]"
224,inducible W36 strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",3,11,24932,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W36,"[3, 3, 3, 3, 3]","[27616, 27617, 27685, 27687, 27689]"
225,inducible W8 strain,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",3,29,24942,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27619, 27620, 27621, 27622, 27623, 27624, 27625, 27626, 27627, 27628, 27644, 27645, 27646, 27652, 27653, 27654, 27655, 27656, 27657, 27658, 27659, 27670, 27691]"
226,beta estradiol inducible yeast strain with RGR-W8,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",3,29,23610,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-RGR-W8,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[27647, 27630, 27631, 27632, 27633, 27634, 27635, 27636, 27637, 27638, 27639, 27648, 27649, 27650, 27661, 27662, 27663, 27664, 27665, 27666, 27667, 27668, 27672, 27693]"
227,,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell', 'Yeast Plate']",3,3,27318,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W8W36-RGR-W20 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W36,"[2, 3]","[27319, 27689]"
228,A highly transformable yeast strain. Provided by Ginkgo Bioworks (t28359),True,True,"['Yeast cDNA', 'Isolated RNA', 'Yeast Competent Cell', 'Yeast 50ml culture', 'Yeast Overnight Suspension', 'Yeast Glycerol Stock']",6,323,22800,CEN.PK2 - MAT A,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[27339, 27374, 27377, 27380, 27395, 27401, 27423, 27494, 27501, 27504, 27323, 27363, 27406, 27365, 27409, 27443, 27445, 27340, 27345, 27347, 27452, 27356, 27359, 27375, 27378, 27386, 27489, 27381, 27393, 27396, 27414, 27497, 27513, 27402, 27418, 27499, 27516, 27412, 27424, 27429, 27432, 27435, 27475, 27492, 27495, 27502, 27505, 27507, 27510, 27361, 27324, 27408, 27331, 27364, 27372, 27407, 27327, 27366, 27373, 27410, 27338, 27466, 27467, 27468, 27469, 27470, 27471, 27427, 27444, 27446, 27341, 27346, 27344, 27348, 27453, 27454, 27455, 27460, 27463, 27464, 27357, 27370, 27389, 27360, 27369, 27376, 27390, 27379, 27383, 27384, 27385, 27387, 27490, 27382, 27391, 27394, 27397, 27415, 27400, 27417, 27498, 27514, 27515, 27403, 27419, 27500, 27517, 27518, 27413, 27422, 27425, 27430, 27465, 27433, 27484, 27436, 27486, 27439, 27488, 27442, 27449, 27450, 27451, 27458, 27461, 27462, 27474, 27476, 27478, 27480, 27482, 27493, 27496, 27503, 27506, 27508, 27511, 27512, 27362, 27371, 27405, 27319, 27642, 27641, 27685, 27645, 27649, 27623, 27634, 27644, 27648, 27687, 27626, 27637, 27622, 27633, 27619, 27630, 27677, 27676, 27595, 27594, 27593, 27592, 27591, 27590, 27569, 27597, 27596, 27682, 27680, 27681, 27679, 27607, 27606, 27605, 27611, 27603, 27602, 27628, 27639, 27625, 27636, 27621, 27632, 27646, 27650, 27691, 27693, 27659, 27668, 27653, 27662, 27670, 27672, 27657, 27666, 27656, 27665, 27655, 27664, 27654, 27663, 27568, 27658, 27667, 27652, 27661, 27573, 27572, 27570, 27558, 27553, 27551, 27547, 27546, 27554, 27552, 27550, 27545, 27544, 27571, 27617, 27616, 27582, 27599, 27581, 27576, 27588, 27584, 27580, 27575, 27579, 27608, 27614, 27613, 27612, 27604, 27610, 27587, 27586, 27585, 27578, 27577, 27566, 27565, 27561, 27563, 27557, 27556, 27549, 27548, 27627, 27638, 27624, 27635, 27620, 27631, 27689]"
229,strain with ZEV4 transcription factor,True,True,"['Yeast Glycerol Stock', 'Yeast Competent Cell']",4,159,23534,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4,"[3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[27555, 27560, 27564, 27609, 27647, 27544, 27545, 27546, 27547, 27548, 27549, 27550, 27551, 27552, 27553, 27554, 27556, 27557, 27558, 27641, 27642, 27561, 27563, 27565, 27566, 27568, 27569, 27570, 27571, 27572, 27573, 27590, 27591, 27592, 27593, 27594, 27595, 27596, 27597, 27676, 27677, 27575, 27576, 27577, 27578, 27579, 27580, 27581, 27582, 27584, 27585, 27586, 27587, 27588, 27599, 27679, 27680, 27681, 27682, 27602, 27603, 27604, 27605, 27606, 27607, 27608, 27610, 27611, 27612, 27613, 27614, 27616, 27617, 27685, 27687, 27689, 27619, 27620, 27621, 27622, 27623, 27624, 27625, 27626, 27627, 27628, 27644, 27645, 27646, 27652, 27653, 27654, 27655, 27656, 27657, 27658, 27659, 27670, 27691, 27630, 27631, 27632, 27633, 27634, 27635, 27636, 27637, 27638, 27639, 27648, 27649, 27650, 27661, 27662, 27663, 27664, 27665, 27666, 27667, 27668, 27672, 27693]"
230,A highly transformable yeast strain. Provided by Ginkgo Bioworks (t28360),True,True,['Yeast Glycerol Stock'],5,160,22801,CEN.PK2 - MAT alpha,"[4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[27555, 27560, 27564, 27609, 27647, 27544, 27545, 27546, 27547, 27548, 27549, 27550, 27551, 27552, 27553, 27554, 27556, 27557, 27558, 27641, 27642, 27561, 27563, 27565, 27566, 27568, 27569, 27570, 27571, 27572, 27573, 27590, 27591, 27592, 27593, 27594, 27595, 27596, 27597, 27676, 27677, 27575, 27576, 27577, 27578, 27579, 27580, 27581, 27582, 27584, 27585, 27586, 27587, 27588, 27599, 27679, 27680, 27681, 27682, 27602, 27603, 27604, 27605, 27606, 27607, 27608, 27610, 27611, 27612, 27613, 27614, 27616, 27617, 27685, 27687, 27689, 27619, 27620, 27621, 27622, 27623, 27624, 27625, 27626, 27627, 27628, 27644, 27645, 27646, 27652, 27653, 27654, 27655, 27656, 27657, 27658, 27659, 27670, 27691, 27630, 27631, 27632, 27633, 27634, 27635, 27636, 27637, 27638, 27639, 27648, 27649, 27650, 27661, 27662, 27663, 27664, 27665, 27666, 27667, 27668, 27672, 27693]"
